ADM0_PCODE,ADM0_EN,ADM0_KA,ADM1_PCODE,ADM1_EN,ADM1_KA,ADM2_PCODE,,ADM2_EN,ADM2_KA,ADM2TYPE_KA,ADM2TYPE_EN,POP_FINAL,PART,SIZE_KMSQ,DENSITY,HOPUSE_POP,HOPUSE_QTY,AVER_SIZE,POP_0_4,POP_5_9,POP_10_14,POP_15_19,POP_20_24,POP_25_29,POP_30_34,POP_35_39,POP_40_44,POP_45_49,POP_50_54,POP_55_59,POP_60_64,POP_65_69,POP_70_74,POP_75_79,POP_80_84,POP_85_MOR,POP_Total,M_0_4,M_5_9,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80_84,M_85_MORE,M_Total,F_0_4,F_5_9,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80_84,F_85_MORE,F_Total
GE,Georgia,საქართველო,GE26,Imereti,იმერეთი,GE2623,1,Bagdati,ბაღდათის,municipaliteti,municipality,21582,0.7,815,26.5,"21,582","7,047",3,"1,318","1,055",986,"1,191","1,324","1,340","1,192","1,195","1,281","1,391","1,614","1,581","1,575","1,168","1,048","1,232",652,439,"21,582",665,521,533,631,723,729,639,635,669,711,854,806,753,527,420,464,243,105,"10,628",653,534,453,560,601,611,553,560,612,680,760,775,822,641,628,768,409,334,"10,954"
GE,Georgia,საქართველო,GE26,Imereti,იმერეთი,GE2627,1,Vani,ვანის,municipaliteti,municipality,24504,0.7,557,44,"24,504","8,253",3,"1,386","1,075","1,038","1,224","1,363","1,418","1,317","1,393","1,402","1,610","1,974","1,838","1,885","1,401","1,284","1,472",837,595,"24,512",715,591,561,664,769,814,735,744,723,825,"1,009",866,871,615,516,587,300,167,"12,072",671,484,477,560,594,604,582,649,679,785,965,972,"1,014",786,768,885,537,428,"12,440"
GE,Georgia,საქართველო,GE26,Imereti,იმერეთი,GE2629,1,Zestaponi,ზესტაფონის,municipaliteti,municipality,57628,1.8,423,136.2,"57,628","18,187",3,"3,653","3,314","3,317","3,274","3,055","3,358","3,692","3,630","3,890","3,961","4,414","4,110","3,889","2,729","2,348","2,688","1,420",886,"57,628","1,865","1,797","1,789","1,808","1,619","1,753","1,902","1,781","1,912","2,050","2,123","1,922","1,747","1,173",948,"1,108",520,265,"28,082","1,788","1,517","1,528","1,466","1,436","1,605","1,790","1,849","1,978","1,911","2,291","2,188","2,142","1,556","1,400","1,580",900,621,"29,546"
GE,Georgia,საქართველო,GE26,Imereti,იმერეთი,GE2631,1,Terjola,თერჯოლის,municipaliteti,municipality,35502,1.1,357,99.4,"35,502","11,021",3,"2,085","1,745","1,620","1,999","2,180","2,231","2,052","2,052","2,132","2,406","2,705","2,695","2,544","1,845","1,611","1,916","1,034",711,"35,563","1,071",970,892,"1,107","1,182","1,201","1,084","1,018","1,126","1,252","1,398","1,327","1,173",850,728,764,394,233,"17,770","1,014",775,728,892,998,"1,030",968,"1,034","1,006","1,154","1,307","1,368","1,371",995,883,"1,152",640,478,"17,793"
GE,Georgia,საქართველო,GE26,Imereti,იმერეთი,GE2633,1,Samtredia,სამტრედიის,municipaliteti,municipality,48534,1.5,364,133.3,"48,534","15,081",3,"3,015","2,543","2,344","2,659","2,840","3,037","2,971","3,122","3,186","3,208","3,887","3,541","3,529","2,518","2,090","2,226","1,135",711,"48,562","1,552","1,355","1,243","1,419","1,502","1,588","1,519","1,590","1,548","1,584","1,849","1,562","1,560","1,064",802,807,363,179,"23,086","1,463","1,188","1,101","1,240","1,338","1,449","1,452","1,532","1,638","1,624","2,038","1,979","1,969","1,454","1,288","1,419",772,532,"25,476"
GE,Georgia,საქართველო,GE26,Imereti,იმერეთი,GE2635,1,Sachkhere,საჩხერის,municipaliteti,municipality,37775,1.2,973,38.8,"37,775","11,336",3,"2,455","2,351","2,069","2,073","1,853","2,489","2,306","2,278","2,209","2,621","3,060","2,727","2,380","1,715","1,575","1,887","1,090",637,"37,775","1,327","1,252","1,082","1,152","1,052","1,309","1,173","1,140","1,076","1,344","1,606","1,315","1,107",761,692,790,448,182,"18,808","1,128","1,099",987,921,801,"1,180","1,133","1,138","1,133","1,277","1,454","1,412","1,273",954,883,"1,097",642,455,"18,967"
GE,Georgia,საქართველო,GE26,Imereti,იმერეთი,GE2636,1,Tkibuli,ტყიბულის ,municipaliteti,municipality,20832,0.6,479,43.5,"20,832","7,489",3,"1,145",995,922,997,980,"1,213","1,212","1,131","1,210","1,344","1,700","1,753","1,662","1,137","1,039","1,132",762,505,"20,839",572,543,499,533,535,653,669,617,580,675,812,867,751,502,430,457,272,140,"10,107",573,452,423,464,445,560,543,514,630,669,888,886,911,635,609,675,490,365,"10,732"
GE,Georgia,საქართველო,GE26,Imereti,იმერეთი,GE2638,1,Tskaltubo,წყალტუბოს ,municipaliteti,municipality,55894,1.7,707.5,79,"55,894","17,032",3,"3,471","2,882","2,794","3,276","3,870","3,914","3,580","3,645","3,649","3,697","4,238","3,946","3,899","2,782","2,446","2,636","1,410",748,"56,883","1,849","1,471","1,474","1,705","2,053","2,155","1,963","1,981","1,982","1,891","2,147","1,874","1,758","1,247","1,022","1,008",538,225,"28,343","1,622","1,411","1,320","1,571","1,817","1,759","1,617","1,664","1,667","1,806","2,091","2,072","2,141","1,535","1,424","1,628",872,523,"28,540"
GE,Georgia,საქართველო,GE26,Imereti,იმერეთი,GE2640,1,Chiatura,ჭიათურის,municipaliteti,municipality,39848,1.2,542,73.5,"39,848","13,827",3,"2,443","2,101","2,195","2,083","1,949","2,327","2,279","2,170","2,247","2,703","3,375","3,173","2,855","1,914","1,872","2,146","1,301",751,"39,884","1,258","1,082","1,150","1,158","1,078","1,281","1,157","1,100","1,071","1,348","1,623","1,532","1,390",811,783,862,493,235,"19,412","1,185","1,019","1,045",925,871,"1,046","1,122","1,070","1,176","1,355","1,752","1,641","1,465","1,103","1,089","1,284",808,516,"20,472"
GE,Georgia,საქართველო,GE26,Imereti,იმერეთი,GE2642,1,Kharagauli,ხარაგაულის,municipaliteti,municipality,19452,0.6,14,1389.4,"19,452","6,754",3,"1,059",890,"1,011","1,072",921,"1,095","1,026","1,043","1,130","1,343","1,593","1,514","1,344",966,940,"1,311",775,440,"19,473",553,490,539,578,515,613,554,522,590,702,780,780,607,449,387,535,296,137,"9,627",506,400,472,494,406,482,472,521,540,641,813,734,737,517,553,776,479,303,"9,846"
